Site_ID,Site_Name,Date,ANC,pH,Cond,Temp,SO4,NO3,Cl,Ca,Mg,K,Na,SIO2
VT43,"Greasy Spring Branch",1987-10-31,69.55,6.7,10.72,,8.26,0.65,19.03,36.83,13.25,6.98,39.49,108.4
VT43,"Greasy Spring Branch",1988-01-30,55.82,6.5,8.66,,9.63,0.65,19.03,28.99,10.78,4.53,37.45,93.5
VT43,"Greasy Spring Branch",1988-04-28,66.52,6.6,10.31,,9.22,0.65,18.46,33.48,12.76,4.77,39.36,99.61
VT43,"Greasy Spring Branch",1988-07-28,88.84,6.7,12.37,,11.08,0.65,18.14,49.55,17.45,8.17,43.62,118.8
VT43,"Greasy Spring Branch",1988-10-30,77.63,6.6,10.83,,8.45,0.65,18.63,39.82,15.56,8.33,40.49,111.8
VT43,"Greasy Spring Branch",1989-01-29,44.2,6.4,10.1,,6.97,0.65,18.37,31.64,11.44,5.14,37.92,104.2
VT43,"Greasy Spring Branch",1989-04-30,42.99,6.5,10.1,,11.92,0.76,17.94,34.53,12.02,5.74,39.1,98.04
VT43,"Greasy Spring Branch",1989-07-27,65.82,6.2,9.9,,8.59,0.8,17.11,35.03,11.77,8.55,22.46,107.5
VT43,"Greasy Spring Branch",1989-10-25,67.53,6.7,9.59,,6.55,0.91,18.34,33.88,12.51,5.69,38.4,107.9
VT43,"Greasy Spring Branch",1990-01-25,64.2,6.4,11.03,,12.15,0.82,16.7,40.72,14.07,6.11,37.53,100.7
VT43,"Greasy Spring Branch",1990-04-25,69.65,6.7,10.1,,7.56,0.88,17.45,36.68,12.76,5.74,38.14,102.1
VT43,"Greasy Spring Branch",1990-07-30,73.49,6.4,10.1,16,5.81,0.9,17.25,38.32,13,5.3,38.84,111.5
VT43,"Greasy Spring Branch",1990-10-28,45.62,6.1,9.79,9.5,9.41,0.94,17.8,28.59,11.03,5.11,34.53,98.95
VT43,"Greasy Spring Branch",1991-01-27,55.72,6.5,8.76,4.5,8.13,0.99,17.88,30.34,11.85,4,34.62,99.82
VT43,"Greasy Spring Branch",1991-04-24,62.38,6.0,9.8,10,8.17,0.68,17.16,33.18,12.67,5.56,38.19,100.9
VT43,"Greasy Spring Branch",1991-07-29,71.47,6.2,12.7,16,20.51,0.88,12.94,54.44,19.09,8.67,40.27,101.1
VT43,"Greasy Spring Branch",1991-10-26,86.02,6.5,11.98,18,8.49,0.68,18.69,44.46,16.13,9.2,44.54,121.5
VT43,"Greasy Spring Branch",1992-01-25,58.34,5.9,10.32,2.5,9.86,0.76,18.14,30.89,11.85,4.58,37.32,102.0
VT43,"Greasy Spring Branch",1992-04-26,52.38,6.5,9.13,8,9.99,0.84,17.51,29.44,12.02,5.11,33.14,91.87
VT43,"Greasy Spring Branch",1992-07-25,84.3,6.5,11.59,16.5,6.82,0.82,17.28,44.31,15.39,6.61,41.49,113.5
VT43,"Greasy Spring Branch",1992-10-27,69.15,6.5,11.22,9,8.36,0.88,17.16,40.92,14.4,7.22,40.8,112.3
VT43,"Greasy Spring Branch",1993-01-25,53.29,6.5,9.13,,9.65,0.67,18.03,31.44,11.85,4.45,36.53,100.5
VT43,"Greasy Spring Branch",1993-04-25,37.33,6.5,8.71,11,8.94,0.85,17.65,29.79,10.95,5.01,34.18,92.48
VT43,"Greasy Spring Branch",1993-07-26,84.3,6.1,12.78,17.5,16.72,0.68,16.53,50.55,17.94,7.85,41.45,110.7
VT43,"Greasy Spring Branch",1993-10-30,86.12,6.5,13.46,9,15.47,0.74,23.26,50.25,19.75,14.6,43.41,109.7
VT43,"Greasy Spring Branch",1994-01-29,47.33,6.4,9.77,5,17.85,0.71,18.57,31.34,13.09,4.58,34.71,89.66
VT43,"Greasy Spring Branch",1994-04-30,66.52,6.6,9.79,13.5,8.9,0.79,17.39,36.58,13.17,5.82,37.88,99.57
VT43,"Greasy Spring Branch",1994-07-31,70.06,6.5,10.91,16,12,0.76,15.93,42.76,14.73,5.9,40.62,109.7
VT43,"Greasy Spring Branch",1994-10-29,66.62,6.6,11.39,9,9.09,0.79,21.22,41.02,15.31,7.49,42.14,112.0
VT43,"Greasy Spring Branch",1995-01-27,43.9,6.1,9.46,4.5,9.15,0.84,21.08,30.89,11.85,5.43,37.62,98.16
VT43,"Greasy Spring Branch",1995-04-25,60.87,6.7,10.03,9,9.93,0.73,18.6,37.23,13.5,5.16,39.36,104.3
VT43,"Greasy Spring Branch",1995-07-27,70.97,6.2,10.76,17,7.14,0.63,18.26,40.77,15.23,5.53,39.1,109.7
VT43,"Greasy Spring Branch",1995-10-29,59.96,6.7,9.45,9,8.7,0.59,19.03,31.54,11.69,5.61,37.27,103.5
VT43,"Greasy Spring Branch",1996-01-27,40.67,6.4,10.67,8,26.59,4.19,22.2,36.53,15.64,5.77,35.1,83.2
VT43,"Greasy Spring Branch",1996-04-27,54,6.5,9.08,10.5,8.64,0.67,18.92,32.69,11.93,5.06,37.18,96.15
VT43,"Greasy Spring Branch",1996-07-26,81.07,6.2,11.39,16.5,7.01,0.63,18.23,42.76,15.31,5.82,41.53,113.9
VT43,"Greasy Spring Branch",1996-10-26,67.63,6.6,9.9,11,8.06,0.68,18.57,34.68,13.58,6.75,39.45,106.1
VT43,"Greasy Spring Branch",1997-01-25,30.87,6.5,10.65,4.5,21.22,0.53,17.97,37.48,14.57,5.19,39.4,99.78
VT43,"Greasy Spring Branch",1997-04-27,59.05,6.6,9.86,8,9.13,0.62,18.52,35.48,13.09,4.95,37.97,102.0
VT43,"Greasy Spring Branch",1997-07-27,88.54,6.0,11.94,19,8.36,0.8,17.54,46.66,16.79,6.88,41.53,114.2
VT43,"Greasy Spring Branch",1997-10-26,84.3,6.5,13.43,9.5,17.23,0.62,22.46,54.04,19.67,10.28,42.8,109.8
VT43,"Greasy Spring Branch",1998-01-25,43.9,6.5,9.64,4,13.93,0.65,18.06,32.14,11.93,4.4,36.01,98.04
VT43,"Greasy Spring Branch",1998-04-26,39.76,6.0,9.31,11.5,8.98,0.63,17.22,29.74,10.29,4.48,33.92,88.73
VT43,"Greasy Spring Branch",1998-07-27,85.81,6.5,12.4,16,8.68,0.63,18,46.21,16.38,6.38,41.32,112.2
VT43,"Greasy Spring Branch",1998-10-31,84.3,6.4,13.03,10,10.7,0.62,20.38,47.9,17.28,8.28,43.71,117.5
VT43,"Greasy Spring Branch",1999-01-30,48.95,6.3,9.23,6,10.72,0.63,18.72,30.94,11.44,4.77,36.1,97.21
VT43,"Greasy Spring Branch",1999-04-24,42.99,6.3,9.7,10.5,9.22,0.68,18.03,35.73,12.26,5.14,39.32,100.9
VT43,"Greasy Spring Branch",1999-07-27,80.26,6.5,13.43,18,10.48,0.71,18.14,51.95,17.7,6.98,44.1,116.9
VT43,"Greasy Spring Branch",1999-10-30,69.15,6.6,10.02,10,8.32,0.74,18.4,34.93,13.66,5.3,40.27,106.9
VT43,"Greasy Spring Branch",2000-01-28,44.4,6.4,9.42,0.5,8.45,0.68,18.11,33.23,11.44,3.64,37.4,101.2
VT43,"Greasy Spring Branch",2000-04-26,52.48,6.5,9.39,9,10.44,0.7,18.43,34.18,13.66,4.74,36.53,96.08
VT43,"Greasy Spring Branch",2000-10-29,76.02,6.5,10.63,10,7.95,0.62,18.52,41.32,14.98,6.54,41.49,112.0
VT43,"Greasy Spring Branch",2001-01-27,54,6.5,10.18,4,10.76,0.73,17.54,36.58,12.1,4.87,39.01,103.0
VT43,"Greasy Spring Branch",2001-04-29,60.87,6.2,10.7,11,8.19,0.73,17.36,36.73,12.92,5.32,40.79,101.1
VT43,"Greasy Spring Branch",2001-07-30,79.25,6.3,11.38,14,13.72,0.79,16.42,47.16,16.79,5.98,41.93,108.3
VT43,"Greasy Spring Branch",2001-10-27,84.3,6.5,12.69,9,9.37,0.74,20.47,46.76,17.12,9.81,43.93,115.3
VT43,"Greasy Spring Branch",2002-01-27,43.7,6.5,11.14,4.5,13.35,0.74,18.43,38.17,14.49,6.03,40.27,102.3
VT43,"Greasy Spring Branch",2002-04-27,56.52,6.5,9.63,0,9.88,0.85,18.26,33.73,11.69,5.27,38.58,99.45
VT43,"Greasy Spring Branch",2002-07-28,98.64,6.4,14.1,17,10.2,0.97,17.83,55.19,18.35,8.12,46.1,123.6
VT43,"Greasy Spring Branch",2002-10-27,68.34,6.3,12.91,12,26.51,0.7,23.41,53.29,19.01,9.28,48.93,120.0
VT43,"Greasy Spring Branch",2003-01-26,50.77,6.4,9.11,2,9.41,0.71,18.43,32.04,11.44,4,39.19,102.5
VT43,"Greasy Spring Branch",2003-04-27,61.68,6.4,9.04,11,10.29,0.66,18.26,34.28,11.69,4.82,39.19,97.51
VT43,"Greasy Spring Branch",2003-07-27,78.54,6.5,11.4,18,7.16,0.7,18.86,42.47,14.57,5.61,42.93,112.2
VT43,"Greasy Spring Branch",2003-10-25,65.82,5.7,11.3,8,9.26,0.68,19.15,35.68,13.33,6.85,41.19,106.9
VT43,"Greasy Spring Branch",2004-01-25,50.67,6.5,9.9,1,9.67,0.68,17.94,32.39,12.18,4.11,38.23,100.7
VT43,"Greasy Spring Branch",2004-04-27,65.01,6.5,9.8,10,9.67,0.67,17.85,34.78,12.1,5.24,38.97,101.2
