Site_ID,Site_Name,Date,ANC,pH,Cond,Temp,SO4,NO3,Cl,Ca,Mg,K,Na,SIO2
VT04,"Little Wilson Creek",1987-10-27,67.13,6.4,15.77,,49.2,0.65,13.22,33.33,21.32,17.32,61.59,158.8
VT04,"Little Wilson Creek",1988-01-25,33.6,6.3,11.96,,47.57,11.01,11.5,27.65,17.86,9.33,48.02,118.6
VT04,"Little Wilson Creek",1988-04-28,36.43,6.4,13.4,,48.51,3.6,10.92,26.95,17.04,11.23,53.67,125.6
VT04,"Little Wilson Creek",1988-07-27,60.06,6.4,15.47,,49.35,17.59,11.41,34.43,21.23,15.92,70.33,179
VT04,"Little Wilson Creek",1988-10-25,49.25,6.5,18.04,,73.56,0.65,29.39,38.87,26.34,18.14,68.55,158.0
VT04,"Little Wilson Creek",1989-01-27,30.57,6.2,13.4,,50.97,4.3,11.47,29.79,17.86,9.65,51.19,133.9
VT04,"Little Wilson Creek",1989-04-24,39.86,6.4,12.89,,47.4,0.73,10.55,26.8,15.72,10.33,54.8,134.3
VT04,"Little Wilson Creek",1989-07-25,52.38,6.5,12.99,,41.05,0.77,10.69,31.84,17.86,10.52,53.76,156.1
VT04,"Little Wilson Creek",1989-10-27,41.98,6.5,12.17,,43.67,0.93,12.94,28.14,16.71,10.39,53.32,144.6
VT04,"Little Wilson Creek",1990-01-29,24.51,5.9,13.61,,50.45,0.84,10.29,36.93,21.15,12.02,43.97,98.51
VT04,"Little Wilson Creek",1990-04-30,40.57,6.4,11.65,,42.45,2.43,10.09,29.99,17.45,12.26,51.58,127.8
VT04,"Little Wilson Creek",1990-07-30,49.96,6.5,14.33,14,41.29,8.64,9.31,32.39,19.51,12.73,60.15,164.9
VT04,"Little Wilson Creek",1990-10-29,38.04,6.0,13.4,7,45.98,4.37,12.13,27.3,16.63,10.49,49.58,136.0
VT04,"Little Wilson Creek",1991-01-29,32.28,6.2,12.68,4,44.12,13.18,12.79,25.85,16.21,8.96,50.23,130.4
VT04,"Little Wilson Creek",1991-04-29,41.37,6.5,12.6,,43.09,6.96,9.23,26.85,16.95,12.5,53.58,128.3
VT04,"Little Wilson Creek",1991-07-29,55.72,6.5,13.64,16,39.64,0.93,9.25,31.29,18.6,11.23,60.33,159.8
VT04,"Little Wilson Creek",1991-10-29,71.67,6.4,14.2,12,35.42,0.7,11.58,25.75,17.04,14.53,68.98,176.2
VT04,"Little Wilson Creek",1992-01-28,34.71,6.3,13.09,15,48.08,12.3,10.81,26.95,17.53,9.67,52.98,131.7
VT04,"Little Wilson Creek",1992-04-28,30.57,6.3,12.34,8,45.9,10.4,9.57,27.05,16.87,11.2,46.19,117.4
VT04,"Little Wilson Creek",1992-07-28,46.42,6.4,13.4,17,46.84,2.72,8.51,31.84,19.01,12.6,53.45,150.5
VT04,"Little Wilson Creek",1992-10-27,55.82,6.5,13.31,8,41.38,0.9,10.81,29.09,18.27,12.42,56.46,153.7
VT04,"Little Wilson Creek",1993-01-25,29.66,6.2,12.1,2,45.6,12.61,9.43,25.65,16.05,9.28,46.54,119.5
VT04,"Little Wilson Creek",1993-04-27,34.71,6.3,12.35,9,45.58,10.2,9.51,26.1,17.94,11.07,47.19,121.5
VT04,"Little Wilson Creek",1993-07-29,62.48,6.2,16.78,19,44.33,24.89,10.84,35.98,22.72,15.79,70.64,176.2
VT04,"Little Wilson Creek",1993-10-27,65.11,6.4,14.99,9,49.65,0.74,12.04,28.14,19.26,15.69,70.24,174.9
VT04,"Little Wilson Creek",1994-01-25,26.02,6.2,12.19,4,51.49,9.18,10.2,25.85,16.95,8.36,45.58,118.4
VT04,"Little Wilson Creek",1994-04-29,35.62,6.3,11.82,12,48.4,1.92,8.94,24.4,14.98,11.02,48.89,127.8
VT04,"Little Wilson Creek",1994-07-27,53.29,6.5,13.82,16,41.46,8.69,8.56,28.34,17.7,13.26,61.28,162.5
VT04,"Little Wilson Creek",1994-10-25,50.77,6.4,13.74,8,45.9,0.76,18.11,29.44,19.67,12.65,61.89,159.9
VT04,"Little Wilson Creek",1995-01-30,27.13,6.1,11.85,1,47.07,10.03,9.6,26,16.71,8.94,45.88,121
VT04,"Little Wilson Creek",1995-04-26,38.14,6.4,12.53,6,46.9,7.56,10.63,27.15,17.37,10.41,55.41,138.3
VT04,"Little Wilson Creek",1995-07-31,58.34,6.5,15.29,17,39.17,10.57,10.75,30.69,19.67,12.55,63.46,169.5
VT04,"Little Wilson Creek",1995-10-30,47.33,6.3,12.62,8,45.19,1.42,13.48,26.8,17.2,10.1,55.67,153.7
VT04,"Little Wilson Creek",1996-01-29,22.08,6.0,11.72,1,47.07,11.96,11.01,24.35,16.63,9.2,42.14,108.3
VT04,"Little Wilson Creek",1996-04-29,35.62,6.4,12.1,11,46.37,6.93,10.49,24.55,15.72,10.97,52.37,129.3
VT04,"Little Wilson Creek",1996-07-25,62.18,6.4,15.21,16,39.02,12.88,10.92,31.59,19.83,12.31,64.81,170.1
VT04,"Little Wilson Creek",1996-10-29,58.34,6.5,13.12,12,40.95,0.65,14.78,27.2,18.44,11.57,60.59,160.2
VT04,"Little Wilson Creek",1997-01-27,29.66,6.2,12.11,2,48.02,10.94,10.32,25.75,17.04,8.51,51.63,126.5
VT04,"Little Wilson Creek",1997-04-28,31.27,6.2,12.22,8,46.39,8.3,9.92,26.9,17.37,10.62,49.02,120.5
VT04,"Little Wilson Creek",1997-07-28,58.24,6.4,13.25,18,38.31,8.72,10.52,28.34,18.93,12.68,60.59,165.8
VT04,"Little Wilson Creek",1997-10-28,51.47,6.4,16.01,7,56.14,0.6,19.29,30.79,20.49,15.16,68.29,164.7
VT04,"Little Wilson Creek",1998-02-02,28.75,6.2,12.56,2,49.65,9.61,10.61,27.15,17.45,8.72,45.97,124.4
VT04,"Little Wilson Creek",1998-04-28,34.71,6.2,12.12,6,46.65,4.34,9.37,25.25,16.13,10.33,44.36,116.0
VT04,"Little Wilson Creek",1998-07-27,49.96,6.3,14.75,16,39.55,13.62,10.92,30.04,19.26,12.42,60.67,163.6
VT04,"Little Wilson Creek",1998-10-28,65.82,6.2,14.86,11,44.63,0.65,13.42,28.64,19.42,14.02,62.89,164.3
VT04,"Little Wilson Creek",1999-01-27,25.52,6.0,13.43,5,57.68,5.97,13.45,28.24,18.52,9.49,48.41,117.3
VT04,"Little Wilson Creek",1999-04-28,27.94,6.1,13.65,8,59.93,1.95,11.12,30.39,18.76,10.15,50.1,121.8
VT04,"Little Wilson Creek",1999-07-28,56.63,6.4,14.68,18,49.02,5.21,10.03,28.84,19.18,11.52,65.63,169.2
VT04,"Little Wilson Creek",1999-10-25,48.75,6.4,14.13,6,50.57,0.74,14.29,27.25,19.18,11.02,63.2,158.0
VT04,"Little Wilson Creek",2000-01-26,30.47,6.2,13.12,0,50.42,5.84,12.1,26.45,16.95,6.96,52.8,136.3
VT04,"Little Wilson Creek",2000-04-26,25.42,6.1,11.95,7,52.32,2.07,10.75,25.8,16.71,9.36,47.62,116.3
VT04,"Little Wilson Creek",2000-07-27,55.82,6.5,13.86,15,42.08,3.77,9.23,29.04,19.26,9.3,62.24,164.3
VT04,"Little Wilson Creek",2000-10-30,65.92,6.5,13.76,7,39.15,0.63,11.93,26.9,18.02,10.89,65.59,172.3
VT04,"Little Wilson Creek",2001-01-29,39.76,6.3,13.24,2,50.37,7.57,11.96,26.35,17.2,7.7,55.98,135.9
VT04,"Little Wilson Creek",2001-04-24,41.37,6.5,12.88,10,46.35,5.44,10,22.8,16.79,9.78,54.37,137
VT04,"Little Wilson Creek",2001-07-31,36.32,6.2,12.41,14,49.99,2.37,10.2,29.59,18.19,8.41,50.28,132.4
VT04,"Little Wilson Creek",2001-11-01,59.05,6.6,13.54,8,39.49,0.68,14.17,25.25,17.12,12.05,62.85,166.9
VT04,"Little Wilson Creek",2002-01-29,26.22,6.0,12.86,7,52.26,8.3,11.53,26.15,19.09,10.41,48.97,125.9
VT04,"Little Wilson Creek",2002-04-29,41.37,6.4,13.09,10,48.87,1.83,11.73,25.05,16.95,10.94,55.89,138.7
VT04,"Little Wilson Creek",2002-07-29,71.67,6.4,16.59,17,40.82,14.59,11.09,32.59,20.99,13.95,74.29,182.2
VT04,"Little Wilson Creek",2002-10-31,38.95,6.3,12.51,7,56.59,0.67,14.95,28.44,18.68,10.04,59.28,144.1
VT04,"Little Wilson Creek",2003-01-28,32.28,6.3,12.01,0,47.68,9.17,11.3,24.5,15.47,7.56,53.24,132.7
VT04,"Little Wilson Creek",2003-05-01,37.23,6.3,11.64,10,48.36,2.4,10.38,23.6,15.72,10.33,51.54,128.1
VT04,"Little Wilson Creek",2003-07-31,38.04,6.2,12.1,16,41.16,0.67,9.05,27.74,17.37,9.22,51.1,138.0
VT04,"Little Wilson Creek",2003-10-29,45.72,6.4,14.2,9,46,0.7,17.48,37.82,19.09,12.2,53.84,139.1
VT04,"Little Wilson Creek",2004-01-27,28.85,6.2,12.6,2,45.58,9.23,10.69,23.35,15.88,8.59,52.24,129.2
VT04,"Little Wilson Creek",2004-04-28,37.23,6.3,12.4,9,49.35,0.67,10.49,23.4,15.72,10.83,52.8,131.0
VT04,"Little Wilson Creek",2004-08-03,59.96,6.4,13.1,16,35.08,3.34,10.66,26.85,17.37,10.91,62.85,168.8
VT04,"Little Wilson Creek",2004-10-27,45.72,6.4,12.7,11,44.59,0.67,13.11,26.5,17.61,11.33,54.98,148.4
VT04,"Little Wilson Creek",2005-01-25,28.75,6.2,12.1,2,47.65,9.66,11.41,23.45,16.21,8.36,52.63,131.6
VT04,"Little Wilson Creek",2005-04-26,32.18,6.3,11.9,6,46.41,4.02,9.43,23.9,16.46,10.15,50.02,121.1
VT04,"Little Wilson Creek",2005-08-01,44.91,6.5,12.6,17,40.61,0.68,9.37,27.15,17.86,11.02,57.54,153.0
VT04,"Little Wilson Creek",2005-10-26,54.6,6.5,14.2,7,48.31,0,14.87,26.25,18.25,14.46,68.84,164.5
VT04,"Little Wilson Creek",2006-01-30,30.53,6.3,12.2,5,49.5,0,11.43,24.1,16.48,9.47,53.25,130.4
VT04,"Little Wilson Creek",2006-05-01,35.58,6.4,12.1,8,44.84,0,10.37,24.47,16.28,10.88,52.83,128.7
VT04,"Little Wilson Creek",2006-07-31,55.72,6.5,14.9,17,32.11,0,15.06,42.66,20.6,12.55,60.03,152.9
VT04,"Little Wilson Creek",2006-10-30,32.34,6.2,12.5,9,50.48,2.18,12.63,23.41,16.99,10.16,54.51,134.8
VT04,"Little Wilson Creek",2007-01-30,27.63,6.3,12.3,2,46.89,2.42,10.6,20.85,15.41,8.27,53.44,130.1
VT04,"Little Wilson Creek",2007-04-30,33.93,6.4,12.4,10,47.61,0.95,10.41,21.69,15.26,10.88,55.56,134.9
VT04,"Little Wilson Creek",2007-10-29,39.2,6.4,13,6,55.05,0,18.37,27.25,19.9,12.44,64.91,152.3
VT04,"Little Wilson Creek",2008-01-28,28.7,6.3,11.2,3,50.59,4.48,11.85,20.11,14.57,7.95,56.01,135.5
VT04,"Little Wilson Creek",2008-04-30,29.58,6.3,11.6,7,50.79,2.42,10.61,20.6,15.36,9.6,54.17,131.3
VT04,"Little Wilson Creek",2008-07-30,59.61,6.4,15,16,42.4,12.12,10.24,28.28,18.19,13.78,73.75,169.0
VT04,"Little Wilson Creek",2008-10-29,44.31,6.4,13.3,,46.12,0,15.56,24.54,18.26,11.23,60.88,149.8
VT04,"Little Wilson Creek",2009-01-26,26.3,6.2,11.6,2,48.33,3.93,11.12,21.66,14.74,7.74,51.07,123.6
VT04,"Little Wilson Creek",2009-04-28,37.27,6.4,12.1,10,47.82,0,10.48,19.34,12.56,9.68,56.71,130.6
VT04,"Little Wilson Creek",2009-07-29,45.4,6.4,13.2,17,36.82,0,10.54,35.28,16.46,10.13,50.83,133.7
VT04,"Little Wilson Creek",2009-10-26,44.57,6.3,12.6,7,45.26,0,13.65,21.96,15.28,9.35,59.07,142.4
VT04,"Little Wilson Creek",2010-01-27,17.84,6.0,11,3,47.93,1.01,9.59,17.48,13.15,8.78,44.53,106.4
VT04,"Little Wilson Creek",2010-04-28,32.17,6.2,12.6,5,43.92,5.9,11.12,31.47,15.49,10.38,47.24,114.3
VT04,"Little Wilson Creek",2010-07-28,57.96,6.4,14.5,18,36.73,6.37,11.62,27.48,17.83,13.77,70.75,172.2
VT04,"Little Wilson Creek",2010-10-26,71.26,6.5,14.4,11,37.65,0,13.59,22.7,17.16,17.72,71.28,170.5
VT04,"Little Wilson Creek",2011-04-25,34,6.4,12.4,11,46.9,0.81,13.73,27.57,14.85,10.96,49.86,119.8
VT04,"Little Wilson Creek",2011-07-27,59.61,6.6,14.2,17,35.37,5.78,10.52,24.26,17.33,13.23,71.22,174.5
VT04,"Little Wilson Creek",2011-10-25,43.02,6.4,12.2,8,44.23,0,12.93,20.2,15.23,9.67,59.25,148.6
VT04,"Little Wilson Creek",2012-01-25,22.96,6.0,11.1,7,47.61,0,9.69,18.35,13.06,9.54,48.21,118.2
VT04,"Little Wilson Creek",2012-04-25,34.14,6.3,12.6,7,42.52,1.75,10.02,32.23,16.52,10.76,47.75,112.8
VT04,"Little Wilson Creek",2012-07-31,49.48,6.6,12.4,17,38.43,2.1,10.04,24.03,16.27,10.26,59.18,158.1
VT04,"Little Wilson Creek",2012-10-25,54.16,6.6,13.2,10,42.27,1.31,14.01,28.89,16.18,11.55,57.16,146.4
VT04,"Little Wilson Creek",2013-04-30,36.93,6.4,11.3,10,44.34,1.4,9.11,19.69,13.97,10.8,52.63,124.1
VT04,"Little Wilson Creek",2013-07-30,43.88,6.6,11.6,10,36.06,2.53,9.7,22.71,15.66,9.75,53.25,142.6
VT04,"Little Wilson Creek",2013-10-29,59.96,6.6,13.5,9,36.07,0.61,14.51,33.58,17.77,13.35,56.25,148.5
VT04,"Little Wilson Creek",2014-01-30,32.38,6.4,13.1,0,46.07,12.12,12.15,31.5,16.26,9.44,51.62,128.7
VT04,"Little Wilson Creek",2014-05-05,39.72,6.5,11.6,8,44.32,2.05,9.16,21.51,14.6,11.35,55.39,130.6
VT04,"Little Wilson Creek",2014-07-29,55.49,6.6,14.5,12,40.25,9.55,11.99,42.44,19.69,12.14,57.53,148.7
VT04,"Little Wilson Creek",2014-10-27,43.76,6.5,12.8,10,43.16,2.84,13.84,33.04,16.62,11.98,52.79,142.2
VT04,"Little Wilson Creek",2015-01-29,40.81,6.5,13.2,4,45.1,11.56,12.22,34.83,17.72,9.18,53.43,132.9
VT04,"Little Wilson Creek",2015-04-28,34.05,6.3,10.9,7,42.08,1.48,8.21,20.33,14.53,10.76,48.75,122.7
VT04,"Little Wilson Creek",2015-07-28,65.77,6.3,13.6,17,31.47,5.31,9.39,26.01,18.02,12.78,66.58,169.4
VT04,"Little Wilson Creek",2015-11-02,41.04,6.3,12.6,11,42.68,2.41,13.27,27.13,15.37,12.15,50.18,129.3
VT04,"Little Wilson Creek",2016-02-02,28.77,6.2,11.4,5,40.85,6.73,9.55,26.28,14.11,10.09,43.4,108.1
VT04,"Little Wilson Creek",2016-04-27,42.25,6.4,12.5,12,42.64,7.02,10.95,25.74,14.74,12.3,54.34,130.2
VT04,"Little Wilson Creek",2016-07-25,67.04,6.4,14.8,17.5,34.67,14.28,9.94,23.63,17.3,14.43,69.07,168.9
VT04,"Little Wilson Creek",2016-10-31,79.87,6.5,14.3,12,34.59,0,12.09,20.09,15.83,17.2,74.34,176.3
VT04,"Little Wilson Creek",2017-01-31,27.37,6.1,11.1,4,44.05,0.3,9.11,16.62,12.41,10.02,49.81,123.0
VT04,"Little Wilson Creek",2017-05-02,39.91,6.4,12.3,12,41.43,0.07,10.48,27.24,14.7,11.79,48.1,120.7
VT04,"Little Wilson Creek",2017-07-26,51.11,6.3,13.3,14,33.96,0.79,9.59,29.32,15.58,12.18,55.24,144.7
VT04,"Little Wilson Creek",2017-10-25,29.37,6.2,12,9,42.58,2.72,11.61,23.19,13.67,11.94,46.17,125.1
VT04,"Little Wilson Creek",2018-01-29,27.92,6.2,10.9,5,39.49,4.21,8.85,15.1,11.28,8.71,52.54,130.7
VT04,"Little Wilson Creek",2018-04-23,33.83,6.3,11.4,9,43.6,0.82,9.46,14.43,11.47,10.43,53.12,121.5
VT04,"Little Wilson Creek",2018-07-30,50.46,6.5,13,18,37.2,8.18,9.25,32.89,16.5,12.32,54.77,150.9
VT04,"Little Wilson Creek",2018-10-29,40.68,6.4,11.2,9,37.3,0,11.88,19.3,14.55,12.21,51.79,133.6
VT04,"Little Wilson Creek",2019-02-04,30.94,6.3,11.2,4,41.2,9.3,9.49,24.71,14.15,10.15,46.61,118.6
VT04,"Little Wilson Creek",2019-04-22,29.08,6.2,11,8,41.46,2.97,9.87,26.12,14.73,11.16,42.03,106.1
VT04,"Little Wilson Creek",2019-07-29,43.57,6.4,11.5,15,35.42,5.04,9,29.85,15.25,10.58,48.64,137.4
VT04,"Little Wilson Creek",2019-10-29,50.43,6.5,13.5,12,39.39,0,15.38,23.43,17.24,14.33,61.34,154.8
VT04,"Little Wilson Creek",2020-01-28,29.21,6.3,10.6,4,42.39,0.41,9.31,18.17,13.39,9.26,49.29,122.7
VT04,"Little Wilson Creek",2020-04-27,30.01,6.2,11.3,,35.62,0,10.29,27.7,14.46,10.46,41.82,107.2
VT04,"Little Wilson Creek",2020-07-27,49.27,6.4,11.5,16,32.22,0,7.13,23.32,16.42,11.95,53.68,142.8
VT04,"Little Wilson Creek",2020-10-26,48.44,6.4,12.5,13,36.31,0.67,14.06,33.19,17.72,13.18,50.66,134.8
VT04,"Little Wilson Creek",2021-02-05,27.85,6.3,10.7,3.5,38.92,6.5,8.08,17.14,12.87,9.13,48.56,125.1
VT04,"Little Wilson Creek",2021-05-03,38.6,6.4,11.4,10,38.38,1.27,8.43,18.48,13.53,11.22,51.97,131.2
VT04,"Little Wilson Creek",2021-07-26,60.05,6.6,14.7,17.5,32.25,14.56,12.14,23.77,17,15.42,70.5,175.9
VT04,"Little Wilson Creek",2021-10-25,54.03,6.6,12.4,13,34.18,0,10.63,21.1,16.18,12.16,59.08,158.6
