Year of Date,Month of Date,Measure Names,Site,Measure Values
2005,December,Average Conductivity (μS/cm),Site 16,188.1333333
2005,November,Average Conductivity (μS/cm),Site 16,187.4
2005,October,Average Conductivity (μS/cm),Site 16,144.7333333
2005,September,Average Conductivity (μS/cm),Site 16,125.5333333
2005,August,Average Conductivity (μS/cm),Site 16,136.4666667
2005,July,Average Conductivity (μS/cm),Site 16,149.2666667
2005,June,Average Conductivity (μS/cm),Site 16,308.2666666
2005,December,Average Conductivity (μS/cm),Site 15,109.1333333
2005,November,Average Conductivity (μS/cm),Site 15,133.4
2005,October,Average Conductivity (μS/cm),Site 15,130.8333333
2005,September,Average Conductivity (μS/cm),Site 15,101.0333333
2005,August,Average Conductivity (μS/cm),Site 15,104.7666667
2005,July,Average Conductivity (μS/cm),Site 15,136.7
2005,June,Average Conductivity (μS/cm),Site 15,146.9
2005,May,Average Conductivity (μS/cm),Site 15,136.9666667
2005,December,Average Conductivity (μS/cm),Site 13,48.66666667
2005,November,Average Conductivity (μS/cm),Site 13,47.5
2005,October,Average Conductivity (μS/cm),Site 13,
2005,September,Average Conductivity (μS/cm),Site 13,39.16666667
2005,August,Average Conductivity (μS/cm),Site 13,43.03333333
2005,July,Average Conductivity (μS/cm),Site 13,45.36666667
2005,June,Average Conductivity (μS/cm),Site 13,41.63333333
2005,May,Average Conductivity (μS/cm),Site 13,39.16666667
2005,December,Average Conductivity (μS/cm),Site 12,48.3
2005,November,Average Conductivity (μS/cm),Site 12,50.86666667
2005,October,Average Conductivity (μS/cm),Site 12,43.33333333
2005,September,Average Conductivity (μS/cm),Site 12,38.76666667
2005,August,Average Conductivity (μS/cm),Site 12,42.46666667
2005,July,Average Conductivity (μS/cm),Site 12,44.46666667
2005,June,Average Conductivity (μS/cm),Site 12,41.9
2005,May,Average Conductivity (μS/cm),Site 12,37.73333333
2005,December,Average Conductivity (μS/cm),Site 11,51.2
2005,November,Average Conductivity (μS/cm),Site 11,35.6
2005,October,Average Conductivity (μS/cm),Site 11,33.1
2005,September,Average Conductivity (μS/cm),Site 11,46
2005,August,Average Conductivity (μS/cm),Site 11,46.5
2005,July,Average Conductivity (μS/cm),Site 11,47.86666667
2005,June,Average Conductivity (μS/cm),Site 11,33.53333333
2005,May,Average Conductivity (μS/cm),Site 11,28.6
2005,December,Average Conductivity (μS/cm),Site 10,162.5333333
2005,November,Average Conductivity (μS/cm),Site 10,173.5
2005,October,Average Conductivity (μS/cm),Site 10,178.4
2005,September,Average Conductivity (μS/cm),Site 10,165.8333333
2005,August,Average Conductivity (μS/cm),Site 10,192.8
2005,July,Average Conductivity (μS/cm),Site 10,218.9333333
2005,June,Average Conductivity (μS/cm),Site 10,126.0666667
2005,May,Average Conductivity (μS/cm),Site 10,88.56666667
2005,December,Average Conductivity (μS/cm),Site 09,159.9333333
2005,November,Average Conductivity (μS/cm),Site 09,200.7666667
2005,October,Average Conductivity (μS/cm),Site 09,199.6333333
2005,September,Average Conductivity (μS/cm),Site 09,187.1666667
2005,August,Average Conductivity (μS/cm),Site 09,171.3
2005,July,Average Conductivity (μS/cm),Site 09,223.2666667
2005,June,Average Conductivity (μS/cm),Site 09,123.8
2005,May,Average Conductivity (μS/cm),Site 09,99.63333333
2005,December,Average Conductivity (μS/cm),Site 08,122.8666667
2005,November,Average Conductivity (μS/cm),Site 08,199.3333333
2005,October,Average Conductivity (μS/cm),Site 08,207.7666667
2005,September,Average Conductivity (μS/cm),Site 08,157.1333333
2005,August,Average Conductivity (μS/cm),Site 08,193.9
2005,July,Average Conductivity (μS/cm),Site 08,254.3666667
2005,June,Average Conductivity (μS/cm),Site 08,121.9666667
2005,May,Average Conductivity (μS/cm),Site 08,90.53333333
2005,December,Average Conductivity (μS/cm),Site 07,157.8333333
2005,November,Average Conductivity (μS/cm),Site 07,133.5
2005,October,Average Conductivity (μS/cm),Site 07,275.7333333
2005,September,Average Conductivity (μS/cm),Site 07,96.2
2005,August,Average Conductivity (μS/cm),Site 07,243.1333333
2005,July,Average Conductivity (μS/cm),Site 07,208.7
2005,June,Average Conductivity (μS/cm),Site 07,105.0333333
2005,May,Average Conductivity (μS/cm),Site 07,90.7
2005,December,Average Conductivity (μS/cm),Site 06,349.8
2005,November,Average Conductivity (μS/cm),Site 06,201.4666667
2005,October,Average Conductivity (μS/cm),Site 06,117.9
2005,September,Average Conductivity (μS/cm),Site 06,104.9333333
2005,August,Average Conductivity (μS/cm),Site 06,106.4
2005,July,Average Conductivity (μS/cm),Site 06,117.8666667
2005,June,Average Conductivity (μS/cm),Site 06,128.8333333
2005,May,Average Conductivity (μS/cm),Site 06,35.8
2005,December,Average Conductivity (μS/cm),Site 05,147.5666667
2005,November,Average Conductivity (μS/cm),Site 05,110.0333333
