"Year","Month","Year_Month","flow_mm","Ca_flux","Mg_flux","K_flux","Na_flux","Al_Ferron_flux","TMAl_flux","OMAl_flux","Al_ICP_flux","NH4_flux","SO4_flux","NO3_flux","Cl_flux","PO4_flux","DOC_flux","TDN_flux","DON_flux","DIC_flux","SiO2_flux","Mn_flux","Fe_flux","F_flux","H_flux","pH_volwt","SpecCond_volwt","ANC_volwt"
1963,"06","1963-06",9.348,159.96135,30.87855,9.47865,98.30475,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88
1963,"07","1963-07",1.993,34.12065,6.97395,2.46595,23.93315,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88
1963,"08","1963-08",4.728,81.6083,17.04685,6.5367,57.2216,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88
1963,"09","1963-09",0.702,11.6432,2.7846,1.62325,10.06915,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88
1963,"10","1963-10",2.087,34.90625,8.35615,8.41995,33.16285,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88
1963,"11","1963-11",99.617,1895.7744,401.43085,442.9952,836.5897,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88
1963,"12","1963-12",56.853,795.19995,194.5734,145.6075,441.9805,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88
1964,"01","1964-01",57.474,824.71265,198.6633,107.2701,514.094,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88
1964,"02","1964-02",19.168,281.76975,66.72,40.70895,178.78325,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88
1964,"03","1964-03",97.783,1797.8381,364.17995,242.30025,735.84755,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88
1964,"04","1964-04",265.766,3707.8986,809.2781,607.9374,1807.962,775.8779,-888.88,-888.88,-888.88,28.8212,15404.6716,1354.9604,1189.9419,-888.88,-888.88,-888.88,-888.88,-888.88,8543.939,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88
1964,"05","1964-05",82.296,1045.1592,255.1176,127.5588,604.8756,259.2324,-888.88,-888.88,-888.88,26.7462,4888.3824,248.9454,306.5526,-888.88,-888.88,-888.88,-888.88,-888.88,2983.23,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88
1964,"06","1964-06",3.784,45.6972,13.17305,3.5189,43.6202,8.3285,-888.88,-888.88,-888.88,2.42695,225.6204,3.5542,13.7396,-888.88,-888.88,-888.88,-888.88,-888.88,182.6775,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88
1964,"07","1964-07",6.684,72.8788,22.3828,5.9926,70.4709,13.5975,-888.88,-888.88,-888.88,2.8287,418.786,4.06,35.0635,-888.88,-888.88,-888.88,-888.88,-888.88,358.792,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88
1964,"08","1964-08",20.479,200.7464,69.8871,21.39375,188.75975,51.1736,-888.88,-888.88,-888.88,34.0994,1306.5708,16.55615,113.57955,-888.88,-888.88,-888.88,-888.88,-888.88,983.3255,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88
1964,"09","1964-09",2.175,23.7485,7.8434,1.42365,24.7827,3.9523,-888.88,-888.88,-888.88,0.9666,142.9901,1.1607,11.31065,-888.88,-888.88,-888.88,-888.88,-888.88,129.3715,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88
1964,"10","1964-10",7.448,61.10165,27.7709,27.77695,102.9196,11.2271,-888.88,-888.88,-888.88,8.3891,496.66495,4.917,46.488,-888.88,-888.88,-888.88,-888.88,-888.88,479.206,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88
1964,"11","1964-11",60.695,521.85105,257.91565,157.6928,561.8052,127.9072,-888.88,-888.88,-888.88,37.9593,3849.55255,189.9824,419.7285,-888.88,-888.88,-888.88,-888.88,-888.88,2877.5795,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88
1964,"12","1964-12",79.98,774.64825,284.3134,157.9788,634.5924,205.0827,-888.88,-888.88,-888.88,39.4432,4940.6361,737.18805,432.6185,-888.88,-888.88,-888.88,-888.88,-888.88,3416.2775,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88
1965,"01","1965-01",26.805,234.40325,96.73555,45.62915,234.2963,79.87115,-888.88,-888.88,-888.88,11.7976,1650.85665,256.84145,202.9738,-888.88,-888.88,-888.88,-888.88,-888.88,1243.456,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88
